text,size
義大利,100.5712668
牛排,84.09376149
海鮮,54.43633798
三明治,53.13701694
午餐,45.53250443
牛肉,43.22447978
沙拉,42.9760563
漢堡,42.51577462
奶油,38.6507042
雞肉,35.02500341
法式,30.92056336
環境,30.92056336
牛排館,30.92056336
咖啡,30.45348073
啤酒,28.03455205
冰淇淋,27.05549294
番茄,27.05549294
濃湯,26.10298348
創意,25.43731421
潛艇,25.43731421
德國,24.52477705
薯條,24.52477705
白酒,23.36212671
焦糖,23.36212671
龍蝦,23.36212671
麵包,23.36212671
墨西哥,23.36212671
美國,22.68970137
辣味,21.75248624
巧克力,21.75248624
炸雞,21.75248624
綜合,21.75248624
蜂蜜,20.34985137
干貝,20.34985137
西西里,20.34985137
香腸,20.34985137
古巴,20.01727603
跳舞,20.01727603
蛋糕,18.68970137
新鮮,18.68970137
夜市,18.68970137
法國,17.01727603
芥末,17.01727603
芒果,17.01727603
森林,17.01727603
小吃,17.01727603
比利時,15.26238852
菜單,15.26238852
鮭魚,15.26238852
健康,15.26238852
辣椒,15.26238852
臘腸,15.26238852
蘆筍,15.26238852
馬鈴薯,15.26238852
南瓜,15.26238852
台灣,15.26238852
西餐廳,15.26238852
香蕉,15.26238852
洋蔥,15.26238852
早餐,15.26238852
招牌,15.26238852
豬腳,15.26238852
北海道,13.34485068
酒館,13.34485068
私房,13.34485068
新疆,13.34485068
養生,13.34485068
貝殼,11.34485068
布丁,11.34485068
布朗,11.34485068
頂級,11.34485068
風味,11.34485068
鳳梨,11.34485068
橄欖油,11.34485068
蛤蜊,11.34485068
好吃,11.34485068
柳條,11.34485068
墨魚,11.34485068
奶酪,11.34485068
檸檬,11.34485068
牛奶,11.34485068
紐西蘭,11.34485068
紐約,11.34485068
歐洲,11.34485068
拼盤,11.34485068
肉醬,11.34485068
鮮奶,11.34485068
香草,11.34485068
洋芋,11.34485068
飲料,11.34485068
豬排,11.34485068
豬肉,11.34485068
愛爾蘭,6.672425342
八角,6.672425342
薄餅,6.672425342
薄脆,6.672425342
草莓,6.672425342
層麵,6.672425342
朝鮮,6.672425342
大蒜,6.672425342
帝王,6.672425342
蕃茄,6.672425342
蓋飯,6.672425342
橄欖,6.672425342
瓜子,6.672425342
果茶,6.672425342
果汁,6.672425342
花生,6.672425342
花生醬,6.672425342
雞胸,6.672425342
錦州,6.672425342
涼拌,6.672425342
涼麵,6.672425342
綠茶,6.672425342
蜜糖,6.672425342
蜜桃,6.672425342
明蝦,6.672425342
明治,6.672425342
蘑菇,6.672425342
奶茶,6.672425342
檸檬汁,6.672425342
牛肝菌,6.672425342
濃郁,6.672425342
蘋果,6.672425342
奇異,6.672425342
熔岩,6.672425342
肉丸,6.672425342
肉汁,6.672425342
乳酪,6.672425342
鯊魚,6.672425342
扇貝,6.672425342
什錦,6.672425342
生菜,6.672425342
生活,6.672425342
盛名,6.672425342
師傅,6.672425342
食堂,6.672425342
時代,6.672425342
世家,6.672425342
市府,6.672425342
市集,6.672425342
飾品,6.672425342
舒服,6.672425342
蔬菜,6.672425342
豎立,6.672425342
雙層,6.672425342
雙味,6.672425342
水波,6.672425342
水牛,6.672425342
四季,6.672425342
素食,6.672425342
酸奶,6.672425342
所有,6.672425342
太陽,6.672425342
態度,6.672425342
提前,6.672425342
體驗,6.672425342
田螺,6.672425342
田納,6.672425342
鐵板,6.672425342
鐵鍋,6.672425342
停車,6.672425342
停車場,6.672425342
團體,6.672425342
推向,6.672425342
王子,6.672425342
往年,6.672425342
網路,6.672425342
位置,6.672425342
味覺,6.672425342
味蕾,6.672425342
溫暖,6.672425342
文化,6.672425342
屋內,6.672425342
梧桐樹,6.672425342
無花果,6.672425342
無時無刻,6.672425342
無線,6.672425342
五年,6.672425342
武昌,6.672425342
物美價廉,6.672425342
希爾頓,6.672425342
細膩,6.672425342
西餐,6.672425342
西門,6.672425342
蝦醬,6.672425342
夏季,6.672425342
限量,6.672425342
香港,6.672425342
香氣,6.672425342
鄉村,6.672425342
想念,6.672425342
消費者,6.672425342
小量,6.672425342
小巷,6.672425342
小小,6.672425342
行動,6.672425342
杏仁,6.672425342
幸福,6.672425342
兄弟,6.672425342
雪花,6.672425342
鴨子,6.672425342
壓力,6.672425342
延吉,6.672425342
研發,6.672425342
眼見,6.672425342
邀請,6.672425342
咬咬,6.672425342
一百五十元,6.672425342
一場,6.672425342
一次,6.672425342
一號,6.672425342
一家,6.672425342
一間,6.672425342
一口,6.672425342
一起,6.672425342
一隻,6.672425342
一種,6.672425342
依據,6.672425342
印度,6.672425342
營養,6.672425342
營業,6.672425342
優雅,6.672425342
優質,6.672425342
油煙,6.672425342
魷魚,6.672425342
玉米,6.672425342
預約,6.672425342
鬱金香,6.672425342
元氣,6.672425342
原裝,6.672425342
園區,6.672425342
月亮,6.672425342
再三,6.672425342
造就,6.672425342
真實,6.672425342
征服,6.672425342
知名,6.672425342
致力,6.672425342
置身,6.672425342
製成,6.672425342
質感,6.672425342
中餐,6.672425342
中東,6.672425342
種類,6.672425342
重慶,6.672425342
主角,6.672425342
主食,6.672425342
主題,6.672425342
轉角,6.672425342
轉運站,6.672425342
準則,6.672425342
滋味,6.672425342
自然,6.672425342
自在,6.672425342
自製,6.672425342
自助餐,6.672425342
最佳,6.672425342
坐落,6.672425342
